"k","p","tau2","True_R2","v_model","x_corr","Apparent_R2","CV_R2_w","CV_R2_uw","Delta_CV","Opt_w","Opt_uw","I2_mean","wcv_mean","wgini_mean"
40,2,0.05,0.25,"gamma",0,26.9931633840418,14.4470817742841,19.0023663111744,-4.55528453689026,12.5460816097577,7.99079707286746,41.5385716595952,0.277344781195332,0.150688099901386
20,1,0.2,0.25,"gamma",0,23.6232610670031,15.2217341623422,16.0306454147258,-0.808911252383573,8.40152690466087,7.5926156522773,72.7757825957394,0.129934083841083,0.0704835650344616
40,1,0.2,0.25,"gamma",0,24.8973445304859,19.1391825845761,19.5195690568794,-0.380386472303287,5.7581619459098,5.37777547360651,75.0084807806271,0.121414315546503,0.0675029057646408
20,2,0.2,0.25,"gamma",0,25.5518203865663,13.4679679018009,14.1355835180185,-0.667615616217612,12.0838524847654,11.4162368685478,73.0307221187067,0.128332414827903,0.0698175694258813
40,2,0.2,0.25,"gamma",0,23.5432603538681,15.1851248398694,15.6598110945962,-0.474686254726847,8.3581355139987,7.88344925927186,75.0347223595864,0.121187286304297,0.0674287508869262
20,1,0.05,0,"anchor",0,16.066924593,12.8184715958349,64.3554377277593,-51.5369661319244,3.24845299716509,-48.2885131347593,40.8046744841143,0.985552007062774,0.333926921954253
40,1,0.05,0,"anchor",0,7.70320336569084,6.2880521527639,57.832685519866,-51.5446333671021,1.41515121292694,-50.1294821541752,43.4440807891386,0.656107477388111,0.241678729062677
20,2,0.05,0,"anchor",0,21.8210336702659,8.73819524734749,60.1791004935791,-51.4409052462317,13.0828384229185,-38.3580668233132,41.3476325950206,0.970606564573258,0.332968974896584
40,2,0.05,0,"anchor",0,8.3085401893895,4.68753227986674,57.398142002179,-52.7106097223123,3.62100790952275,-49.0896018127896,43.9889922126219,0.661573244858717,0.240995961555315
20,1,0.2,0,"anchor",0,4.99814132613902,2.34523503432255,45.4338144277647,-43.0885793934421,2.65290629181647,-40.4356731016257,76.3066413112534,0.303225795571817,0.141759911802888
40,1,0.2,0,"anchor",0,1.67467712966447,0.831162316967298,26.9838423087482,-26.1526799917809,0.843514812697167,-25.3091651790838,76.9969258630714,0.226077076906961,0.109609339293926
20,2,0.2,0,"anchor",0,8.02929931105523,2.7549275061426,38.5550832853177,-35.8001557791751,5.27437180491263,-30.5257839742624,75.8082856392982,0.311444764871955,0.144375453899934
40,2,0.2,0,"anchor",0,2.22488251008474,0.759778123170562,26.7758199669633,-26.0160418437927,1.46510438691418,-24.5509374568785,77.2645630239806,0.224973554502396,0.108875453476402
20,1,0.05,0.25,"anchor",0,31.3653805622718,23.3095360196386,65.2464120252357,-41.9368760055971,8.32213087589835,-33.760359282496,49.4608108890356,0.799200666673204,0.286740003474458
40,1,0.05,0.25,"anchor",0,26.5469884938209,18.430529423164,60.6645157668814,-42.2339863437173,8.11645907065686,-34.1175272730605,51.2269176955962,0.510769403654476,0.206990810484189
20,2,0.05,0.25,"anchor",0,33.3732296488722,15.6506035877699,62.283582632331,-46.6329790445611,17.7226260611023,-28.9103529834588,48.8790590187174,0.81079320849178,0.291577426685863
40,2,0.05,0.25,"anchor",0,25.2548489045095,15.61264623801,59.7684066397969,-44.1557604017869,9.64220266649948,-34.5135577352874,51.2114889329645,0.454023818673205,0.199901760693245
20,1,0.2,0.25,"anchor",0,25.0599875516846,17.5150362463042,51.944183274309,-34.4291470280048,7.54495130538034,-26.8841957226245,81.3246304624766,0.273130412594764,0.122264140962387
40,1,0.2,0.25,"anchor",0,24.2606327334142,18.8132027303718,38.059915280435,-19.2467125500632,5.44743000304242,-13.7992825470208,81.8503203049678,0.201047504312787,0.092908892620956
20,2,0.2,0.25,"anchor",0,26.4224629357631,14.1372991827398,44.7183135017429,-30.5810143190031,12.2851637530233,-18.2958505659798,80.9482130822561,0.278285854197324,0.124361225066207
40,2,0.2,0.25,"anchor",0,22.5882572433478,15.0217969283471,36.2048165106156,-21.1830195822685,7.5664603150007,-13.6165592672678,81.8125052276037,0.201255085100733,0.0930810789698004
