"review_id","analysis_id","analysis_group","analysis_number","analysis_name","subgroup","subgroup_number","study_id","study_year","outcome_type","measure","TE","seTE","review_doi","review_url"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal stroke",1,"STOP 1991",1991,"GENSUM","GEN_CI",0.267652,0.182083163265306,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal stroke",1,"Syst-Eur 1991",1993,"GENSUM","GEN_CI",0.729815,0.258473724489796,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal CHD",2,"Coope 1986",1986,"GENSUM","GEN_CI",0.99088,0.276564795918367,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal CHD",2,"EWPHBPE 1989",1989,"GENSUM","GEN_CI",0.628887,0.146698469387755,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal CHD",2,"HYVET 2008",NA,"GENSUM","GEN_CI",0.894933,0.300126530612245,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal CHD",2,"Kuramoto 1981",1981,"GENSUM","GEN_CI",0.534091,1.43740178571429,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal CHD",2,"MRC-O 1992",1992,"GENSUM","GEN_CI",0.783347,0.112047448979592,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal CHD",2,"MRC-TMH 1985",1985,"GENSUM","GEN_CI",0.952701,0.266218112244898,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal CHD",2,"SHEP 1991",1991,"GENSUM","GEN_CI",0.81027,0.142563520408163,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal CHD",2,"SHEP-P 1989",1986,"GENSUM","GEN_CI",0.731377,0.626141071428571,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal CHD",2,"STOP 1991",1991,"GENSUM","GEN_CI",0.501847,0.211493367346939,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N2",1,2,"Cause of cardiovascular mortality","Fatal CHD",2,"Syst-Eur 1991",1993,"GENSUM","GEN_CI",0.729815,0.175874234693878,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N3",1,3,"Cardiovascular mortality and morbidity","",NA,"ATTMH 1981",1981,"GENSUM","GEN_CI",0.76442,0.17717193877551,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N3",1,3,"Cardiovascular mortality and morbidity","",NA,"Coope 1986",1986,"GENSUM","GEN_CI",0.758353,0.0968818877551021,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N3",1,3,"Cardiovascular mortality and morbidity","",NA,"EWPHBPE 1989",1989,"GENSUM","GEN_CI",0.734285,0.107620153061224,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N3",1,3,"Cardiovascular mortality and morbidity","",NA,"HSCSG 1974",1974,"GENSUM","GEN_CI",0.807222,0.176467346938776,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N3",1,3,"Cardiovascular mortality and morbidity","",NA,"HYVET 2008",NA,"GENSUM","GEN_CI",0.707258,0.0760227040816326,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N3",1,3,"Cardiovascular mortality and morbidity","",NA,"HYVET P 2003",1999,"GENSUM","GEN_CI",0.955929,0.232039795918367,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N3",1,3,"Cardiovascular mortality and morbidity","",NA,"Kuramoto 1981",1981,"GENSUM","GEN_CI",0.474747,0.32501556122449,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N3",1,3,"Cardiovascular mortality and morbidity","",NA,"MRC-O 1992",1992,"GENSUM","GEN_CI",0.846426,0.0669234693877551,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N3",1,3,"Cardiovascular mortality and morbidity","",NA,"MRC-TMH 1985",1985,"GENSUM","GEN_CI",0.762467,0.118731632653061,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N3",1,3,"Cardiovascular mortality and morbidity","",NA,"SHEP 1991",1991,"GENSUM","GEN_CI",0.645865,0.0471364795918367,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N3",1,3,"Cardiovascular mortality and morbidity","",NA,"SHEP-P 1989",1986,"GENSUM","GEN_CI",0.650113,0.222755867346939,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N3",1,3,"Cardiovascular mortality and morbidity","",NA,"STOP 1991",1991,"GENSUM","GEN_CI",0.554673,0.0709377551020408,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N3",1,3,"Cardiovascular mortality and morbidity","",NA,"Sprackling 1981",1981,"GENSUM","GEN_CI",1.035939,0.0776329081632653,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N3",1,3,"Cardiovascular mortality and morbidity","",NA,"Syst-Eur 1991",1993,"GENSUM","GEN_CI",0.705536,0.0772969387755102,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N3",1,3,"Cardiovascular mortality and morbidity","",NA,"VA-II 1970",1970,"GENSUM","GEN_CI",0.407368,0.138411479591837,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N4",1,4,"Cerebrovascular mortality and morbidity","",NA,"Coope 1986",1986,"GENSUM","GEN_CI",0.569121,0.158758418367347,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N4",1,4,"Cerebrovascular mortality and morbidity","",NA,"EWPHBPE 1989",1989,"GENSUM","GEN_CI",0.690447,0.198460204081633,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N4",1,4,"Cerebrovascular mortality and morbidity","",NA,"HSCSG 1974",1974,"GENSUM","GEN_CI",0.852346,0.242059948979592,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N4",1,4,"Cerebrovascular mortality and morbidity","",NA,"HYVET 2008",NA,"GENSUM","GEN_CI",0.731101,0.135761479591837,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N4",1,4,"Cerebrovascular mortality and morbidity","",NA,"HYVET P 2003",1999,"GENSUM","GEN_CI",0.497083,0.174516581632653,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N4",1,4,"Cerebrovascular mortality and morbidity","",NA,"Kuramoto 1981",1981,"GENSUM","GEN_CI",0.801136,0.813603316326531,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N4",1,4,"Cerebrovascular mortality and morbidity","",NA,"MRC-O 1992",1992,"GENSUM","GEN_CI",0.76409,0.0990451530612245,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N4",1,4,"Cerebrovascular mortality and morbidity","",NA,"MRC-TMH 1985",1985,"GENSUM","GEN_CI",0.748474,0.205213010204082,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N4",1,4,"Cerebrovascular mortality and morbidity","",NA,"SHEP 1991",1991,"GENSUM","GEN_CI",0.649442,0.080722193877551,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N4",1,4,"Cerebrovascular mortality and morbidity","",NA,"SHEP-P 1989",1986,"GENSUM","GEN_CI",0.446953,0.25831887755102,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N4",1,4,"Cerebrovascular mortality and morbidity","",NA,"STOP 1991",1991,"GENSUM","GEN_CI",0.537694,0.122433673469388,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N4",1,4,"Cerebrovascular mortality and morbidity","",NA,"Syst-Eur 1991",1993,"GENSUM","GEN_CI",0.584681,0.109171173469388,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N4",1,4,"Cerebrovascular mortality and morbidity","",NA,"VA-II 1970",1970,"GENSUM","GEN_CI",0.339474,0.265909693877551,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N5",1,5,"Coronary heart disease mortality and morbidity","",NA,"Coope 1986",1986,"GENSUM","GEN_CI",1.022171,0.236824234693878,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N5",1,5,"Coronary heart disease mortality and morbidity","",NA,"EWPHBPE 1989",1989,"GENSUM","GEN_CI",0.628887,0.146698469387755,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N5",1,5,"Coronary heart disease mortality and morbidity","",NA,"HYVET 2008",NA,"GENSUM","GEN_CI",0.741852,0.36816862244898,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N5",1,5,"Coronary heart disease mortality and morbidity","",NA,"Kuramoto 1981",1981,"GENSUM","GEN_CI",0.213636,0.441683928571429,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N5",1,5,"Coronary heart disease mortality and morbidity","",NA,"MRC-O 1992",1992,"GENSUM","GEN_CI",0.816095,0.0945252551020408,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N5",1,5,"Coronary heart disease mortality and morbidity","",NA,"MRC-TMH 1985",1985,"GENSUM","GEN_CI",0.801573,0.165958928571429,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N5",1,5,"Coronary heart disease mortality and morbidity","",NA,"SHEP 1991",1991,"GENSUM","GEN_CI",0.73946,0.0940808673469388,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N5",1,5,"Coronary heart disease mortality and morbidity","",NA,"SHEP-P 1989",1986,"GENSUM","GEN_CI",0.914221,0.609620918367347,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N5",1,5,"Coronary heart disease mortality and morbidity","",NA,"STOP 1991",1991,"GENSUM","GEN_CI",0.727679,0.180178316326531,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N5",1,5,"Coronary heart disease mortality and morbidity","",NA,"Syst-Eur 1991",1993,"GENSUM","GEN_CI",0.771627,0.136882653061225,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N5",1,5,"Coronary heart disease mortality and morbidity","",NA,"VA-II 1970",1970,"GENSUM","GEN_CI",1.131579,0.83058112244898,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N6",1,6,"Withdrawal due to adverse effects","",NA,"MRC-O 1992",1992,"GENSUM","GEN_CI",6.094818,0.70924362244898,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N6",1,6,"Withdrawal due to adverse effects","",NA,"SHEP 1991",1991,"GENSUM","GEN_CI",1.85409,0.171220408163265,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N6",1,6,"Withdrawal due to adverse effects","",NA,"SHEP-P 1989",1986,"GENSUM","GEN_CI",0.853273,0.987233163265306,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G1_N6",1,6,"Withdrawal due to adverse effects","",NA,"STOP 1991",1991,"GENSUM","GEN_CI",1.238602,0.24066556122449,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G2_N1",2,1,"All-cause mortality","60 to 79 years old",1,"Carter 1970",1970,"GENSUM","GEN_CI",0.919192,0.42168112244898,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G2_N1",2,1,"All-cause mortality","60 to 79 years old",1,"Coope 1986",1986,"GENSUM","GEN_CI",0.963629,0.159808163265306,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G2_N1",2,1,"All-cause mortality","60 to 79 years old",1,"EWPHBPE 1989",1989,"GENSUM","GEN_CI",0.847665,0.116284948979592,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G2_N1",2,1,"All-cause mortality","60 to 79 years old",1,"MRC-O 1992",1992,"GENSUM","GEN_CI",0.968687,0.0726630102040817,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G2_N1",2,1,"All-cause mortality","60 to 79 years old",1,"MRC-TMH 1985",1985,"GENSUM","GEN_CI",0.974813,0.157975255102041,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G2_N1",2,1,"All-cause mortality","60 to 79 years old",1,"SHEP 1991",1991,"GENSUM","GEN_CI",0.860003,0.0903954081632653,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G2_N1",2,1,"All-cause mortality","60 to 79 years old",1,"SHEP-P 1989",1986,"GENSUM","GEN_CI",0.783608,0.365627806122449,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G2_N1",2,1,"All-cause mortality","60 to 79 years old",1,"STOP 1991",1991,"GENSUM","GEN_CI",0.462451,0.112647704081633,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G2_N1",2,1,"All-cause mortality","60 to 79 years old",1,"Syst-Eur 1991",1993,"GENSUM","GEN_CI",0.584729,0.10425,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
"CD000028","CD000028_G2_N1",2,1,"All-cause mortality","80 years or older",2,"Coope 1986",1986,"DICH","logOR",0.251314428280906,2.12319017234361,"10.1002/14651858.CD000028.pub4","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD000028.pub4/full"
