"review_id","analysis_id","n_effects"
"CD002971","CD002971_G1_N6",2
"CD002971","CD002971_G1_N7",2
"CD002971","CD002971_G1_N8",2
"CD002971","CD002971_G1_N9",2
"CD003129","CD003129_G1_N5",1
"CD003129","CD003129_G1_N7",1
"CD003129","CD003129_G3_N3",1
"CD003129","CD003129_G3_N5",1
"CD003129","CD003129_G3_N7",1
"CD003218","CD003218_G1_N1",3
"CD003218","CD003218_G1_N2",5
"CD003218","CD003218_G1_N3",2
"CD003218","CD003218_G1_N4",2
"CD003218","CD003218_G1_N5",5
"CD003376","CD003376_G1_N6",1
"CD003414","CD003414_G3_N3",1
"CD003414","CD003414_G3_N4",1
"CD003429","CD003429_G1_N1",3
"CD003429","CD003429_G1_N10",3
"CD003429","CD003429_G1_N4",2
"CD003429","CD003429_G1_N5",1
"CD003429","CD003429_G1_N7",5
"CD003429","CD003429_G1_N8",5
"CD003429","CD003429_G1_N9",2
"CD003451","CD003451_G1_N1",1
"CD003451","CD003451_G1_N2",2
"CD003451","CD003451_G1_N3",3
"CD003451","CD003451_G4_N1",2
"CD003451","CD003451_G4_N2",1
"CD003451","CD003451_G5_N2",1
"CD003451","CD003451_G5_N3",1
"CD003451","CD003451_G6_N1",1
"CD003451","CD003451_G6_N2",1
"CD003477","CD003477_G1_N1",4
"CD003477","CD003477_G1_N2",9
"CD003477","CD003477_G1_N3",7
"CD003477","CD003477_G1_N4",11
"CD003477","CD003477_G1_N5",10
"CD003477","CD003477_G1_N6",1
"CD003477","CD003477_G1_N7",7
"CD003477","CD003477_G2_N1",3
"CD003477","CD003477_G2_N2",5
"CD003477","CD003477_G2_N3",3
"CD003477","CD003477_G2_N4",4
"CD003477","CD003477_G2_N5",6
"CD003477","CD003477_G2_N6",2
"CD003477","CD003477_G3_N1",10
"CD003477","CD003477_G3_N2",10
"CD003477","CD003477_G3_N3",10
"CD003477","CD003477_G3_N4",6
"CD003477","CD003477_G3_N5",8
"CD003477","CD003477_G3_N6",4
"CD003477","CD003477_G3_N7",5
"CD003477","CD003477_G4_N1",4
"CD003477","CD003477_G4_N2",4
"CD003477","CD003477_G4_N3",4
"CD003477","CD003477_G4_N4",2
"CD003477","CD003477_G4_N5",4
"CD003477","CD003477_G4_N6",2
"CD003477","CD003477_G4_N7",1
"CD003477","CD003477_G5_N1",5
"CD003511","CD003511_G1_N1",8
"CD003519","CD003519_G1_N1",12
"CD003519","CD003519_G1_N10",3
"CD003519","CD003519_G1_N11",2
"CD003519","CD003519_G1_N12",14
"CD003519","CD003519_G1_N13",13
"CD003519","CD003519_G1_N14",7
"CD003519","CD003519_G1_N15",6
"CD003519","CD003519_G1_N16",3
"CD003519","CD003519_G1_N17",6
"CD003519","CD003519_G1_N18",8
"CD003519","CD003519_G1_N19",2
"CD003519","CD003519_G1_N2",11
"CD003519","CD003519_G1_N20",4
"CD003519","CD003519_G1_N21",3
"CD003519","CD003519_G1_N22",2
"CD003519","CD003519_G1_N23",5
"CD003519","CD003519_G1_N24",4
"CD003519","CD003519_G1_N25",3
"CD003519","CD003519_G1_N3",11
"CD003519","CD003519_G1_N4",11
"CD003519","CD003519_G1_N5",10
"CD003519","CD003519_G1_N6",11
"CD003519","CD003519_G1_N7",3
"CD003519","CD003519_G1_N8",2
"CD003519","CD003519_G1_N9",4
"CD003519","CD003519_G2_N1",5
"CD003519","CD003519_G2_N2",2
"CD003519","CD003519_G2_N3",2
"CD003519","CD003519_G2_N4",2
"CD003519","CD003519_G2_N5",2
"CD003519","CD003519_G2_N6",2
"CD003519","CD003519_G2_N7",2
"CD003519","CD003519_G3_N1",12
"CD003519","CD003519_G3_N2",11
"CD003519","CD003519_G3_N3",15
"CD003519","CD003519_G3_N4",6
"CD003519","CD003519_G3_N5",11
"CD003519","CD003519_G4_N1",12
"CD003519","CD003519_G4_N2",10
"CD003519","CD003519_G4_N3",15
"CD003519","CD003519_G4_N4",6
"CD003519","CD003519_G4_N5",11
"CD003519","CD003519_G5_N1",3
"CD003519","CD003519_G5_N2",2
"CD003519","CD003519_G5_N3",2
"CD003519","CD003519_G6_N1",2
"CD003519","CD003519_G7_N1",12
"CD003519","CD003519_G7_N2",11
"CD003519","CD003519_G7_N3",11
"CD003594","CD003594_G1_N3",1
"CD003594","CD003594_G19_N5",2
"CD003594","CD003594_G2_N2",1
"CD003594","CD003594_G3_N1",1
"CD003594","CD003594_G4_N3",1
"CD003594","CD003594_G4_N4",1
"CD003594","CD003594_G4_N5",1
"CD003594","CD003594_G6_N2",1
"CD003594","CD003594_G6_N3",1
"CD003594","CD003594_G7_N1",1
"CD003594","CD003594_G8_N4",1
"CD003594","CD003594_G9_N4",1
"CD003598","CD003598_G1_N13",6
"CD003598","CD003598_G1_N18",2
"CD003598","CD003598_G10_N9",1
"CD003598","CD003598_G11_N6",1
"CD003598","CD003598_G7_N4",1
"CD003598","CD003598_G9_N12",1
"CD003743","CD003743_G1_N15",2
"CD003743","CD003743_G1_N16",3
"CD003743","CD003743_G1_N5",1
"CD003743","CD003743_G1_N6",1
"CD003743","CD003743_G1_N7",1
"CD003743","CD003743_G1_N8",1
"CD003774","CD003774_G7_N5",1
"CD003962","CD003962_G1_N12",3
"CD003962","CD003962_G1_N4",5
"CD003962","CD003962_G1_N8",5
"CD003962","CD003962_G3_N10",2
"CD004184","CD004184_G1_N5",26
"CD004184","CD004184_G1_N6",26
"CD004184","CD004184_G1_N7",7
"CD004184","CD004184_G1_N8",7
"CD004184","CD004184_G1_N9",5
"CD004184","CD004184_G2_N5",26
"CD004184","CD004184_G2_N6",26
"CD004184","CD004184_G2_N7",7
"CD004184","CD004184_G2_N8",7
"CD004184","CD004184_G2_N9",5
"CD004307","CD004307_G1_N1",5
"CD004307","CD004307_G1_N2",6
"CD004307","CD004307_G1_N3",46
"CD004307","CD004307_G2_N1",1
"CD004307","CD004307_G2_N2",1
"CD004376","CD004376_G1_N1",131
"CD004376","CD004376_G1_N2",122
"CD004376","CD004376_G1_N3",46
"CD004376","CD004376_G1_N4",11
"CD004376","CD004376_G1_N5",123
"CD004376","CD004376_G1_N6",48
"CD004376","CD004376_G2_N1",27
"CD004376","CD004376_G2_N2",26
"CD004376","CD004376_G2_N3",13
"CD004376","CD004376_G3_N1",53
"CD004376","CD004376_G3_N2",50
"CD004376","CD004376_G3_N3",65
"CD004376","CD004376_G3_N4",61
"CD004376","CD004376_G3_N5",10
"CD004376","CD004376_G3_N6",10
"CD004376","CD004376_G4_N1",23
"CD004376","CD004376_G4_N2",19
"CD004376","CD004376_G4_N3",52
"CD004376","CD004376_G4_N4",50
"CD004376","CD004376_G4_N5",46
"CD004376","CD004376_G4_N6",43
"CD004661","CD004661_G1_N1",1
"CD004661","CD004661_G1_N10",1
"CD004661","CD004661_G1_N11",1
"CD004661","CD004661_G1_N12",2
"CD004661","CD004661_G1_N2",5
"CD004661","CD004661_G1_N3",3
"CD004661","CD004661_G1_N4",1
"CD004661","CD004661_G1_N5",1
"CD004661","CD004661_G1_N6",1
"CD004661","CD004661_G1_N7",1
"CD004661","CD004661_G1_N8",1
"CD004661","CD004661_G1_N9",2
"CD004661","CD004661_G10_N1",6
"CD004661","CD004661_G10_N2",6
"CD004661","CD004661_G10_N3",6
"CD004661","CD004661_G10_N4",2
"CD004661","CD004661_G10_N5",2
"CD004661","CD004661_G10_N6",3
"CD004661","CD004661_G11_N1",6
"CD004661","CD004661_G11_N2",6
"CD004661","CD004661_G11_N3",6
"CD004661","CD004661_G11_N4",3
"CD004661","CD004661_G11_N5",2
"CD004661","CD004661_G2_N1",1
"CD004661","CD004661_G2_N10",5
"CD004661","CD004661_G2_N11",3
"CD004661","CD004661_G2_N14",2
"CD004661","CD004661_G2_N16",3
"CD004661","CD004661_G2_N17",2
"CD004661","CD004661_G2_N18",2
"CD004661","CD004661_G2_N19",2
"CD004661","CD004661_G2_N2",10
"CD004661","CD004661_G2_N20",3
"CD004661","CD004661_G2_N21",2
"CD004661","CD004661_G2_N22",2
"CD004661","CD004661_G2_N23",2
"CD004661","CD004661_G2_N24",1
"CD004661","CD004661_G2_N25",3
"CD004661","CD004661_G2_N26",1
"CD004661","CD004661_G2_N3",3
"CD004661","CD004661_G2_N4",2
"CD004661","CD004661_G2_N5",2
"CD004661","CD004661_G2_N6",1
"CD004661","CD004661_G2_N7",3
"CD004661","CD004661_G2_N8",9
"CD004661","CD004661_G2_N9",3
"CD004661","CD004661_G3_N1",4
"CD004661","CD004661_G3_N10",2
"CD004661","CD004661_G3_N11",2
"CD004661","CD004661_G3_N13",1
"CD004661","CD004661_G3_N15",1
"CD004661","CD004661_G3_N2",9
"CD004661","CD004661_G3_N3",1
"CD004661","CD004661_G3_N4",1
"CD004661","CD004661_G3_N5",1
"CD004661","CD004661_G3_N6",1
"CD004661","CD004661_G3_N7",5
"CD004661","CD004661_G3_N8",3
"CD004661","CD004661_G3_N9",2
"CD004661","CD004661_G4_N1",1
"CD004661","CD004661_G4_N10",4
"CD004661","CD004661_G4_N11",1
"CD004661","CD004661_G4_N12",7
"CD004661","CD004661_G4_N13",11
"CD004661","CD004661_G4_N14",6
"CD004661","CD004661_G4_N15",8
"CD004661","CD004661_G4_N3",2
"CD004661","CD004661_G4_N4",1
"CD004661","CD004661_G4_N5",1
"CD004661","CD004661_G4_N6",1
"CD004661","CD004661_G4_N7",1
"CD004661","CD004661_G4_N8",3
"CD004661","CD004661_G4_N9",1
"CD004661","CD004661_G5_N10",1
"CD004661","CD004661_G5_N11",1
"CD004661","CD004661_G5_N12",1
"CD004661","CD004661_G5_N13",1
"CD004661","CD004661_G5_N14",1
"CD004661","CD004661_G5_N15",1
"CD004661","CD004661_G5_N16",1
"CD004661","CD004661_G5_N17",1
"CD004661","CD004661_G5_N18",1
"CD004661","CD004661_G5_N19",1
"CD004661","CD004661_G5_N21",3
"CD004661","CD004661_G5_N4",1
"CD004661","CD004661_G5_N5",3
"CD004661","CD004661_G5_N6",1
"CD004661","CD004661_G5_N7",1
"CD004661","CD004661_G5_N8",1
"CD004661","CD004661_G5_N9",1
"CD004661","CD004661_G6_N1",1
"CD004661","CD004661_G6_N2",1
"CD004661","CD004661_G6_N3",1
"CD004661","CD004661_G7_N1",6
"CD004661","CD004661_G7_N2",6
"CD004661","CD004661_G7_N3",6
"CD004661","CD004661_G7_N4",2
"CD004661","CD004661_G7_N5",2
"CD004661","CD004661_G7_N6",2
"CD004661","CD004661_G7_N7",2
"CD004661","CD004661_G7_N8",2
"CD004661","CD004661_G7_N9",3
"CD004661","CD004661_G8_N1",6
"CD004661","CD004661_G8_N2",6
"CD004661","CD004661_G8_N3",6
"CD004661","CD004661_G8_N4",2
"CD004661","CD004661_G8_N5",2
"CD004661","CD004661_G8_N6",3
"CD004661","CD004661_G9_N1",6
"CD004661","CD004661_G9_N2",6
"CD004661","CD004661_G9_N3",6
"CD004661","CD004661_G9_N4",2
"CD004661","CD004661_G9_N5",2
"CD004661","CD004661_G9_N6",2
"CD004661","CD004661_G9_N7",2
"CD004661","CD004661_G9_N8",2
"CD004661","CD004661_G9_N9",3
"CD004667","CD004667_G1_N18",1
"CD004703","CD004703_G2_N3",1
"CD004703","CD004703_G3_N2",2
"CD004703","CD004703_G3_N3",1
"CD004703","CD004703_G3_N5",1
"CD004736","CD004736_G1_N54",1
"CD004736","CD004736_G1_N55",1
"CD004736","CD004736_G3_N29",1
"CD004736","CD004736_G3_N36",2
"CD004762","CD004762_G1_N1",1
"CD004762","CD004762_G1_N2",3
"CD004762","CD004762_G1_N3",2
"CD004762","CD004762_G1_N4",1
"CD004762","CD004762_G2_N1",3
"CD004762","CD004762_G2_N2",5
"CD004762","CD004762_G2_N3",3
"CD004762","CD004762_G2_N4",5
"CD004762","CD004762_G2_N5",2
"CD004762","CD004762_G3_N1",2
"CD004762","CD004762_G3_N2",1
"CD004762","CD004762_G4_N1",1
"CD004871","CD004871_G1_N6",1
"CD004871","CD004871_G2_N4",1
"CD004871","CD004871_G3_N7",2
"CD004904","CD004904_G1_N1",4
"CD004904","CD004904_G1_N3",1
"CD004925","CD004925_G1_N1",3
"CD004925","CD004925_G1_N4",1
"CD004925","CD004925_G1_N7",1
"CD004953","CD004953_G1_N1",1
"CD004953","CD004953_G1_N2",9
"CD004953","CD004953_G1_N3",1
"CD004953","CD004953_G1_N4",1
"CD004953","CD004953_G1_N6",11
"CD004953","CD004953_G2_N1",1
"CD004953","CD004953_G2_N3",1
"CD004953","CD004953_G2_N4",2
"CD004953","CD004953_G2_N6",1
"CD004953","CD004953_G2_N7",1
"CD004953","CD004953_G2_N9",1
"CD005133","CD005133_G2_N5",1
"CD005343","CD005343_G1_N1",4
"CD005343","CD005343_G1_N10",8
"CD005343","CD005343_G1_N11",1
"CD005343","CD005343_G1_N13",3
"CD005343","CD005343_G1_N2",10
"CD005343","CD005343_G1_N3",6
"CD005343","CD005343_G1_N4",9
"CD005343","CD005343_G1_N5",4
"CD005343","CD005343_G1_N6",1
"CD005343","CD005343_G1_N8",1
"CD005343","CD005343_G1_N9",3
"CD005495","CD005495_G1_N3",1
"CD005495","CD005495_G1_N6",1
"CD005495","CD005495_G1_N7",1
"CD005495","CD005495_G5_N3",1
"CD005495","CD005495_G5_N4",1
"CD005495","CD005495_G5_N6",1
"CD005495","CD005495_G5_N7",1
"CD005495","CD005495_G6_N3",1
"CD005495","CD005495_G6_N6",1
"CD005495","CD005495_G6_N7",1
"CD005495","CD005495_G7_N1",1
"CD005495","CD005495_G7_N3",1
"CD005495","CD005495_G7_N4",3
"CD005495","CD005495_G7_N6",1
"CD005495","CD005495_G7_N7",1
"CD005566","CD005566_G2_N5",1
"CD005566","CD005566_G5_N4",1
"CD005582","CD005582_G1_N2",1
"CD005595","CD005595_G1_N1",1
"CD005595","CD005595_G1_N10",1
"CD005595","CD005595_G1_N2",1
"CD005595","CD005595_G1_N3",1
"CD005595","CD005595_G1_N7",1
"CD005595","CD005595_G1_N9",1
"CD006023","CD006023_G1_N28",1
"CD006023","CD006023_G1_N4",1
"CD006023","CD006023_G10_N4",1
"CD006023","CD006023_G10_N5",1
"CD006023","CD006023_G10_N6",1
"CD006023","CD006023_G10_N7",1
"CD006023","CD006023_G10_N8",1
"CD006023","CD006023_G10_N9",1
"CD006023","CD006023_G16_N13",1
"CD006023","CD006023_G16_N14",1
"CD006023","CD006023_G16_N4",1
"CD006023","CD006023_G17_N12",1
"CD006023","CD006023_G17_N4",1
"CD006023","CD006023_G17_N5",1
"CD006023","CD006023_G2_N6",2
"CD006023","CD006023_G24_N5",1
"CD006023","CD006023_G24_N6",1
"CD006023","CD006023_G24_N7",1
"CD006023","CD006023_G25_N2",1
"CD006023","CD006023_G25_N4",1
"CD006023","CD006023_G25_N5",1
"CD006023","CD006023_G25_N6",1
"CD006023","CD006023_G25_N8",1
"CD006023","CD006023_G25_N9",1
"CD006023","CD006023_G26_N10",1
"CD006023","CD006023_G26_N11",1
"CD006023","CD006023_G26_N2",1
"CD006023","CD006023_G26_N3",1
"CD006023","CD006023_G26_N4",1
"CD006023","CD006023_G26_N5",1
"CD006023","CD006023_G26_N6",1
"CD006023","CD006023_G26_N7",1
"CD006023","CD006023_G26_N8",1
"CD006023","CD006023_G26_N9",1
"CD006023","CD006023_G27_N2",1
"CD006023","CD006023_G27_N4",1
"CD006023","CD006023_G27_N5",1
"CD006023","CD006023_G27_N6",1
"CD006023","CD006023_G27_N7",1
"CD006023","CD006023_G27_N8",1
"CD006023","CD006023_G28_N1",1
"CD006023","CD006023_G28_N2",1
"CD006023","CD006023_G28_N4",1
"CD006023","CD006023_G28_N5",1
"CD006023","CD006023_G28_N6",1
"CD006023","CD006023_G28_N7",1
"CD006023","CD006023_G28_N8",1
"CD006023","CD006023_G28_N9",1
"CD006023","CD006023_G29_N1",1
"CD006023","CD006023_G29_N2",1
"CD006023","CD006023_G29_N4",1
"CD006023","CD006023_G29_N5",1
"CD006023","CD006023_G29_N6",1
"CD006023","CD006023_G29_N7",1
"CD006023","CD006023_G29_N8",1
"CD006023","CD006023_G29_N9",1
"CD006023","CD006023_G3_N1",1
"CD006023","CD006023_G3_N18",1
"CD006023","CD006023_G3_N6",2
