"analysis_id","review_id","outcome_type","measure","k","MAFI","MAFI_class","I2","estimate","pval","study_year"
"CD007896_G3_N3","CD007896","GENSUM","GIV",47,0,"Robust",0,0,1,2013
"CD007896_G3_N4","CD007896","GENSUM","GIV",35,0,"Robust",0,0,1,2013
"CD007896_G4_N1","CD007896","GENSUM","GIV",51,0,"Robust",0,0,1,2013
"CD007896_G4_N2","CD007896","GENSUM","GIV",51,0,"Robust",0,0,1,2013
"CD007896_G4_N3","CD007896","GENSUM","GIV",18,0.03,"Robust",0,0,1,2010
"CD007896_G4_N4","CD007896","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2013
"CD007896_G5_N1","CD007896","GENSUM","GIV",37,0,"Robust",0,0,1,2013
"CD007896_G5_N2","CD007896","GENSUM","GIV",37,0,"Robust",0,0,1,2013
"CD007896_G5_N3","CD007896","GENSUM","GIV",12,0.12,"Robust",0,0,1,2010.5
"CD007896_G5_N4","CD007896","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2017
"CD007896_G6_N1","CD007896","GENSUM","GIV",19,0.015,"Robust",0,0,1,2010
"CD007896_G6_N2","CD007896","GENSUM","GIV",19,0.015,"Robust",0,0,1,2010
"CD007896_G6_N3","CD007896","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2005
"CD007896_G7_N1","CD007896","GENSUM","GIV",47,0,"Robust",0,0,1,2013
"CD007896_G7_N2","CD007896","GENSUM","GIV",47,0,"Robust",0,0,1,2013
"CD007896_G7_N3","CD007896","GENSUM","GIV",15,0.075,"Robust",0,0,1,2010
"CD007896_G7_N4","CD007896","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2013.5
"CD007896_G8_N1","CD007896","GENSUM","GIV",48,0,"Robust",0,0,1,2011.5
"CD007896_G8_N2","CD007896","GENSUM","GIV",48,0,"Robust",0,0,1,2011.5
"CD007896_G8_N3","CD007896","GENSUM","GIV",17,0.045,"Robust",0,0,1,2010
"CD007896_G8_N4","CD007896","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2013
"CD007896_G9_N1","CD007896","GENSUM","GIV",55,0,"Robust",0,0,1,2013
"CD007896_G9_N2","CD007896","GENSUM","GIV",55,0,"Robust",0,0,1,2013
"CD007896_G9_N3","CD007896","GENSUM","GIV",18,0.03,"Robust",0,0,1,2010
"CD007896_G9_N4","CD007896","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2013
"CD008063_G1_N1","CD008063","GENSUM","GIV",50,0.054,"Robust",20.5,0.1711,0,2008
"CD008063_G1_N2","CD008063","GENSUM","GIV",5,0.523,"High Fragility",44.2,0.055,0.503,2008
"CD008063_G2_N1","CD008063","GENSUM","GIV",36,0.161,"Low Fragility",33.2,0.0533,0.0839,2009
"CD008063_G2_N3","CD008063","GENSUM","GIV",5,0.528,"High Fragility",46.3,-0.0802,0.506,2009
"CD008063_G3_N1","CD008063","GENSUM","GIV",16,0.093,"Robust",0,0.1795,1e-04,2009
"CD008063_G4_N1","CD008063","GENSUM","GIV",46,0.054,"Robust",0,0.0519,0.0294,2008
"CD008063_G4_N2","CD008063","GENSUM","GIV",5,0.556,"High Fragility",29.8,0.1449,0.0824,2010
"CD008063_G4_N3","CD008063","GENSUM","GIV",12,0.393,"Moderate Fragility",49,-0.0436,0.6519,2013.5
"CD008145_G1_N1","CD008145","GENSUM","GIV",6,0.414,"Moderate Fragility",89.1,0.3082,3e-04,2011
"CD008145_G1_N6","CD008145","GENSUM","GIV",4,0.8,"High Fragility",94.4,0.2363,0.0186,2017.5
"CD008145_G1_N8","CD008145","GENSUM","GIV",3,0.692,"High Fragility",94.7,0.242,0.0431,2018
"CD008145_G2_N2","CD008145","GENSUM","GIV",4,0.549,"High Fragility",58.3,0.0565,0.0978,2004
"CD008145_G3_N1","CD008145","GENSUM","GIV",6,0.369,"Moderate Fragility",71.4,0.3601,0,2011
"CD008145_G5_N1","CD008145","GENSUM","GIV",6,0.552,"High Fragility",90.2,0.1123,0.0257,2017.5
"CD008145_G5_N3","CD008145","GENSUM","GIV",6,0.627,"High Fragility",58.8,0.0547,0.0147,2017
"CD008145_G5_N4","CD008145","GENSUM","GIV",3,0.761,"High Fragility",94.6,0.2079,0.3377,2017
"CD008145_G5_N5","CD008145","GENSUM","GIV",3,0.431,"Moderate Fragility",36.9,-4e-04,0.9781,2017
"CD008145_G9_N7","CD008145","GENSUM","GIV",3,0.745,"High Fragility",97.6,1.0786,0.0253,2010
"CD008165_G1_N1","CD008165","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2011.5
"CD008165_G1_N2","CD008165","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2016
"CD008165_G1_N3","CD008165","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2014
"CD008165_G1_N4","CD008165","GENSUM","GIV",13,0.105,"Robust",0,0,1,2015
"CD008165_G1_N5","CD008165","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2014
"CD008165_G1_N6","CD008165","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2014
"CD008349_G1_N1","CD008349","GENSUM","GIV",63,0,"Robust",0,0,1,2018
"CD008349_G1_N14","CD008349","GENSUM","GIV",15,0.075,"Robust",0,0,1,2017
"CD008349_G1_N3","CD008349","GENSUM","GIV",10,0.15,"Robust",0,0,1,2015.5
"CD008349_G1_N4","CD008349","GENSUM","GIV",13,0.105,"Robust",0,0,1,2014
"CD008349_G1_N8","CD008349","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2020
"CD008493_G1_N7","CD008493","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2016
"CD008493_G1_N8","CD008493","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2016
"CD008493_G2_N1","CD008493","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2016
"CD008493_G2_N2","CD008493","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2011.5
"CD008493_G2_N3","CD008493","GENSUM","GIV",10,0.15,"Robust",0,0,1,2016
"CD008493_G2_N4","CD008493","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2016
"CD008493_G2_N5","CD008493","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2016
"CD008493_G2_N7","CD008493","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2014
"CD008493_G3_N1","CD008493","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2016
"CD008493_G3_N2","CD008493","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2011.5
"CD008493_G3_N3","CD008493","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2016
"CD008493_G3_N5","CD008493","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2016
"CD008493_G3_N7","CD008493","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2014
"CD008493_G4_N6","CD008493","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2016
"CD008493_G4_N7","CD008493","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2016
"CD008552_G1_N1","CD008552","GENSUM","GIV",15,0.29,"Low Fragility",82.2,0.4809,2e-04,2015
"CD008552_G1_N2","CD008552","GENSUM","GIV",5,0.513,"High Fragility",92.9,0.7079,0.0914,2015
"CD008552_G1_N3","CD008552","GENSUM","GIV",13,0.328,"Moderate Fragility",86,0.5383,9e-04,2015
"CD008552_G1_N4","CD008552","GENSUM","GIV",9,0.421,"Moderate Fragility",87.6,0.5222,0.0142,2015
"CD008552_G1_N5","CD008552","GENSUM","GIV",15,0.29,"Low Fragility",82.2,0.4806,2e-04,2015
"CD008552_G1_N6","CD008552","GENSUM","GIV",15,0.29,"Low Fragility",82.2,0.4806,2e-04,2015
"CD008552_G1_N7","CD008552","GENSUM","GIV",15,0.29,"Low Fragility",82.2,0.4809,2e-04,2015
"CD008552_G2_N1","CD008552","GENSUM","GIV",14,0.293,"Low Fragility",83.9,0.2954,0.0033,2019
"CD008552_G2_N3","CD008552","GENSUM","GIV",11,0.347,"Moderate Fragility",86.9,0.3643,0.0094,2019
"CD008552_G2_N4","CD008552","GENSUM","GIV",7,0.362,"Moderate Fragility",66.7,0.381,5e-04,2018
"CD008552_G2_N5","CD008552","GENSUM","GIV",14,0.293,"Low Fragility",83.9,0.2954,0.0033,2019
"CD008552_G2_N6","CD008552","GENSUM","GIV",14,0.293,"Low Fragility",83.9,0.2954,0.0033,2019
"CD008552_G3_N1","CD008552","GENSUM","GIV",14,0.312,"Moderate Fragility",69.5,0.1053,0.1165,2014
"CD008552_G3_N2","CD008552","GENSUM","GIV",11,0.214,"Low Fragility",14,0.0596,0.1277,2014
"CD008552_G3_N3","CD008552","GENSUM","GIV",8,0.277,"Low Fragility",23,0.114,0.0134,2012.5
"CD008552_G3_N4","CD008552","GENSUM","GIV",14,0.25,"Low Fragility",8.4,0.0684,0.0571,2014
"CD008552_G3_N5","CD008552","GENSUM","GIV",14,0.327,"Moderate Fragility",65.9,0.1095,0.0878,2014
"CD008552_G3_N6","CD008552","GENSUM","GIV",14,0.31,"Moderate Fragility",70.7,0.0903,0.2322,2014
"CD008564_G1_N1","CD008564","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2006
"CD008564_G1_N10","CD008564","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2006
"CD008564_G1_N2","CD008564","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2006
"CD008564_G1_N3","CD008564","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2010
"CD008564_G1_N4","CD008564","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2006
"CD008564_G1_N5","CD008564","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2006
"CD008564_G1_N7","CD008564","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2002
"CD008564_G1_N8","CD008564","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2006
"CD008564_G1_N9","CD008564","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2006
"CD008564_G2_N1","CD008564","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2002
"CD008564_G2_N2","CD008564","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2002
"CD008564_G2_N3","CD008564","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2006
"CD008564_G2_N4","CD008564","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2002
"CD008564_G2_N5","CD008564","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2002
"CD008564_G3_N1","CD008564","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2006
"CD008564_G3_N2","CD008564","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2006
"CD008564_G3_N3","CD008564","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2010
"CD008564_G3_N4","CD008564","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2006
"CD008564_G3_N5","CD008564","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2006
"CD008564_G4_N1","CD008564","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2013
"CD008564_G4_N2","CD008564","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2013
"CD008564_G4_N3","CD008564","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2013
"CD008564_G5_N1","CD008564","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2002
"CD008564_G5_N2","CD008564","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2002
"CD008564_G5_N3","CD008564","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2006
"CD008564_G5_N4","CD008564","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2002
"CD008564_G5_N5","CD008564","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2006
"CD008564_G6_N1","CD008564","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2010
"CD008564_G6_N2","CD008564","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2010
"CD008564_G6_N3","CD008564","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2011.5
"CD008564_G6_N4","CD008564","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2010
"CD008564_G6_N5","CD008564","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2006
"CD008879_G3_N1","CD008879","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2007
"CD008879_G3_N2","CD008879","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2010.5
"CD008879_G4_N1","CD008879","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2011
"CD008879_G4_N2","CD008879","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2011
"CD008879_G4_N3","CD008879","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2011
"CD008940_G1_N1","CD008940","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2016
"CD008940_G1_N3","CD008940","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2015
"CD008940_G1_N4","CD008940","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2016
"CD008940_G1_N6","CD008940","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2016
"CD008940_G13_N6","CD008940","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2024
"CD008940_G2_N6","CD008940","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2020
"CD008940_G5_N4","CD008940","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2012
"CD008940_G5_N6","CD008940","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2014.5
"CD009235_G1_N1","CD009235","GENSUM","GIV",51,0,"Robust",0,0,1,2015
"CD009235_G1_N10","CD009235","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2011.5
"CD009235_G1_N14","CD009235","GENSUM","GIV",15,0.075,"Robust",0,0,1,2012
"CD009235_G1_N15","CD009235","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2013
"CD009235_G1_N16","CD009235","GENSUM","GIV",22,0,"Robust",0,0,1,2015
"CD009235_G1_N17","CD009235","GENSUM","GIV",11,0.135,"Robust",0,0,1,2012
"CD009235_G1_N19","CD009235","GENSUM","GIV",22,0,"Robust",0,0,1,2015
"CD009235_G1_N2","CD009235","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2018
"CD009235_G1_N20","CD009235","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2011
"CD009235_G1_N21","CD009235","GENSUM","GIV",38,0,"Robust",0,0,1,2015
"CD009235_G1_N22","CD009235","GENSUM","GIV",22,0,"Robust",0,0,1,2015
"CD009235_G1_N3","CD009235","GENSUM","GIV",37,0,"Robust",0,0,1,2015
"CD009235_G1_N4","CD009235","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2013
"CD009235_G1_N5","CD009235","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2007.5
"CD009235_G1_N6","CD009235","GENSUM","GIV",13,0.105,"Robust",0,0,1,2011
"CD009235_G1_N7","CD009235","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2003
"CD009235_G1_N9","CD009235","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2011
"CD009235_G2_N1","CD009235","GENSUM","GIV",51,0,"Robust",0,0,1,2015
"CD009235_G2_N2","CD009235","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2012
"CD009235_G2_N3","CD009235","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2014.5
"CD009235_G3_N1","CD009235","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2011
"CD009252_G2_N1","CD009252","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2017.5
"CD009252_G2_N3","CD009252","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2002
"CD009252_G3_N1","CD009252","GENSUM","GIV",11,0.135,"Robust",0,0,1,2017
"CD009252_G3_N2","CD009252","GENSUM","GIV",11,0.135,"Robust",0,0,1,2017
"CD009252_G3_N3","CD009252","GENSUM","GIV",11,0.135,"Robust",0,0,1,2017
"CD009252_G3_N4","CD009252","GENSUM","GIV",11,0.135,"Robust",0,0,1,2017
"CD009298_G1_N1","CD009298","GENSUM","GEN_CI",6,0.23,"Low Fragility",6.6,0.9085,0,2021
"CD009298_G1_N10","CD009298","DICH","logOR",8,0.313,"Moderate Fragility",0,0.1302,0.8559,2021
"CD009298_G1_N11","CD009298","DICH","logOR",11,0.197,"Low Fragility",0,0.0183,0.9762,2021
"CD009298_G1_N12","CD009298","DICH","logOR",10,0.39,"Moderate Fragility",0,0.0027,0.9966,2021
"CD009298_G1_N13","CD009298","GENSUM","GEN_CI",6,0.224,"Low Fragility",0,0.9628,0,2021
"CD009298_G1_N14","CD009298","GENSUM","GEN_CI",8,0.19,"Low Fragility",0,0.9748,0,2021
"CD009298_G1_N15","CD009298","GENSUM","GEN_CI",11,0.161,"Low Fragility",0,0.9046,0,2021
"CD009298_G1_N16","CD009298","GENSUM","GEN_CI",10,0.166,"Low Fragility",0,0.9628,0,2021
"CD009298_G1_N17","CD009298","GENSUM","GEN_CI",6,0.218,"Low Fragility",0,0.8597,0,2021
"CD009298_G1_N18","CD009298","GENSUM","GEN_CI",8,0.185,"Low Fragility",0,0.8766,0,2021
"CD009298_G1_N19","CD009298","GENSUM","GEN_CI",11,0.148,"Robust",0.1,0.826,0,2021
"CD009298_G1_N2","CD009298","GENSUM","GEN_CI",8,0.186,"Low Fragility",0,0.9164,0,2021
"CD009298_G1_N20","CD009298","GENSUM","GEN_CI",10,0.157,"Low Fragility",0,0.851,0,2021
"CD009298_G1_N21","CD009298","GENSUM","GEN_CI",6,0.299,"Low Fragility",0,0.5026,0.0211,2021
"CD009298_G1_N22","CD009298","GENSUM","GEN_CI",8,0.253,"Low Fragility",0,0.5041,0.019,2021
"CD009298_G1_N23","CD009298","GENSUM","GEN_CI",11,0.198,"Low Fragility",0,0.5011,0.0234,2021
"CD009298_G1_N24","CD009298","GENSUM","GEN_CI",10,0.316,"Moderate Fragility",0,0.4383,0.0391,2021
"CD009298_G1_N25","CD009298","GENSUM","GEN_CI",6,0.218,"Low Fragility",0,0.9137,0,2021
"CD009298_G1_N26","CD009298","GENSUM","GEN_CI",8,0.188,"Low Fragility",0,0.9091,0,2021
"CD009298_G1_N27","CD009298","GENSUM","GEN_CI",11,0.208,"Low Fragility",22.4,0.7295,0,2021
"CD009298_G1_N28","CD009298","GENSUM","GEN_CI",10,0.167,"Low Fragility",0,0.8101,0,2021
"CD009298_G1_N29","CD009298","GENSUM","GEN_CI",4,0.252,"Low Fragility",0,0.9218,0,2021
"CD009298_G1_N3","CD009298","GENSUM","GEN_CI",11,0.214,"Low Fragility",34.9,0.8861,0,2021
"CD009298_G1_N30","CD009298","GENSUM","GEN_CI",4,0.283,"Low Fragility",0,0.8424,0,2021
"CD009298_G1_N31","CD009298","GENSUM","GEN_CI",4,0.297,"Low Fragility",18.1,0.8613,0,2021
"CD009298_G1_N32","CD009298","GENSUM","GEN_CI",3,0.588,"High Fragility",41.5,1.6114,0.8567,2021
"CD009298_G1_N33","CD009298","GENSUM","GEN_CI",6,0.505,"High Fragility",65.2,-8.5682,0.2862,2021
"CD009298_G1_N34","CD009298","DICH","logOR",4,0.445,"Moderate Fragility",0,0.2264,0.8623,2021
"CD009298_G1_N4","CD009298","GENSUM","GEN_CI",10,0.157,"Low Fragility",0,0.8963,0,2021
"CD009298_G1_N43","CD009298","GENSUM","GEN_CI",5,0.303,"Moderate Fragility",0,0.9166,0.0155,2021
"CD009298_G1_N44","CD009298","GENSUM","GEN_CI",5,0.286,"Low Fragility",0,0.3955,0.3525,2021
"CD009298_G1_N47","CD009298","GENSUM","GEN_CI",4,0.269,"Low Fragility",0,0.7171,0.0028,2021
"CD009298_G1_N48","CD009298","DICH","logOR",4,0.465,"Moderate Fragility",0,0.0043,0.9966,2021
"CD009298_G1_N49","CD009298","DICH","logOR",4,0.465,"Moderate Fragility",0,0.0043,0.9966,2021
"CD009298_G1_N5","CD009298","DICH","logOR",6,0.41,"Moderate Fragility",0,0.0043,0.9958,2021
"CD009298_G1_N50","CD009298","DICH","logOR",4,0.465,"Moderate Fragility",0,0.0043,0.9966,2021
"CD009298_G1_N51","CD009298","DICH","logOR",4,0.341,"Moderate Fragility",0,0.0175,0.988,2021
"CD009298_G1_N52","CD009298","DICH","logOR",4,0.341,"Moderate Fragility",0,0.0175,0.988,2021
"CD009298_G1_N53","CD009298","DICH","logOR",5,0.242,"Low Fragility",0,0.608,0.1731,2021
"CD009298_G1_N54","CD009298","DICH","logOR",4,0.465,"Moderate Fragility",0,0.0043,0.9966,2021
"CD009298_G1_N55","CD009298","DICH","logOR",4,0.302,"Moderate Fragility",0,0.156,0.8785,2021
"CD009298_G1_N6","CD009298","DICH","logOR",8,0.313,"Moderate Fragility",0,0.1302,0.8559,2021
"CD009298_G1_N7","CD009298","DICH","logOR",11,0.197,"Low Fragility",0,0.0183,0.9762,2021
"CD009298_G1_N8","CD009298","DICH","logOR",10,0.39,"Moderate Fragility",0,0.0027,0.9966,2021
"CD009298_G1_N9","CD009298","DICH","logOR",6,0.41,"Moderate Fragility",0,0.0043,0.9958,2021
"CD009362_G2_N2","CD009362","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2021
"CD009508_G1_N1","CD009508","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2019
"CD009508_G1_N2","CD009508","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2018
"CD009508_G3_N1","CD009508","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2016.5
"CD009508_G3_N2","CD009508","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2015
"CD009609_G1_N1","CD009609","GENSUM","GEN_CI",7,0.46,"Moderate Fragility",95,-0.6627,0.121,2018
"CD009609_G1_N10","CD009609","GENSUM","GEN_CI",7,0.573,"High Fragility",92.8,-0.6324,0.0293,2018
"CD009609_G1_N2","CD009609","GENSUM","GEN_CI",4,0.341,"Moderate Fragility",0,0.6068,0.3066,2019
"CD009609_G1_N3","CD009609","GENSUM","GEN_CI",4,0.447,"Moderate Fragility",86.4,-4.2531,1e-04,2020
"CD009609_G1_N4","CD009609","GENSUM","GEN_CI",5,0.677,"High Fragility",97.8,-6.4848,0.0304,2020
"CD009609_G1_N5","CD009609","GENSUM","GEN_CI",4,0.647,"High Fragility",89.2,-5.0745,0.0157,2019
"CD009609_G1_N6","CD009609","GENSUM","GEN_CI",4,0.679,"High Fragility",93.2,-5.7141,0.0257,2020
"CD009609_G1_N7","CD009609","GENSUM","GEN_CI",5,0.456,"Moderate Fragility",96.5,-9.6905,0.0059,2020
"CD009609_G1_N8","CD009609","GENSUM","GEN_CI",4,0.336,"Moderate Fragility",35.5,-8.4511,0,2019
"CD009609_G1_N9","CD009609","GENSUM","GEN_CI",8,0.2,"Low Fragility",0,0.482,0,2019
"CD009679_G3_N2","CD009679","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2008
"CD009749_G1_N4","CD009749","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2010
"CD009749_G1_N6","CD009749","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2015.5
"CD010001_G2_N4","CD010001","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2022
"CD010001_G3_N3","CD010001","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2022
"CD010001_G4_N5","CD010001","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2022
"CD010145_G2_N18","CD010145","GENSUM","GIV",10,0.15,"Robust",0,0,1,1998.5
"CD010145_G2_N19","CD010145","GENSUM","GIV",11,0.135,"Robust",0,0,1,1999
"CD010145_G2_N20","CD010145","GENSUM","GIV",11,0.135,"Robust",0,0,1,2002
"CD010145_G2_N21","CD010145","GENSUM","GIV",12,0.12,"Robust",0,0,1,2001
"CD010189_G1_N1","CD010189","GENSUM","GIV",6,0.437,"Moderate Fragility",41.4,0.1033,0.3914,2006
"CD010189_G1_N10","CD010189","GENSUM","GIV",6,0.485,"Moderate Fragility",37.4,0.0197,0.8614,2006
"CD010189_G1_N2","CD010189","GENSUM","GIV",6,0.437,"Moderate Fragility",13.7,0.0472,0.596,2006.5
"CD010189_G1_N3","CD010189","GENSUM","GIV",3,0.605,"High Fragility",0,-0.0157,0.9064,2011
"CD010189_G1_N4","CD010189","GENSUM","GIV",4,0.541,"High Fragility",31,-0.3737,0.0208,2006
"CD010189_G1_N5","CD010189","GENSUM","GIV",3,0.286,"Low Fragility",0,-0.2857,0.0699,2011
"CD010189_G1_N6","CD010189","GENSUM","GIV",4,0.429,"Moderate Fragility",29.7,-0.325,0.0024,2006
"CD010189_G1_N7","CD010189","GENSUM","GIV",3,0.624,"High Fragility",80.6,0.7288,0.1241,2011
"CD010189_G1_N8","CD010189","GENSUM","GIV",4,0.38,"Moderate Fragility",56.9,0.8045,4e-04,2001.5
"CD010189_G1_N9","CD010189","GENSUM","GIV",5,0.242,"Low Fragility",0,0.6739,0,2002
"CD010216_G5_N1","CD010216","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2021
"CD010441_G1_N1","CD010441","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2011
"CD010441_G2_N1","CD010441","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,1966
"CD010533_G11_N1","CD010533","GENSUM","GIV",3,0.499,"Moderate Fragility",38.7,-0.4352,0.1244,2008
"CD010533_G11_N2","CD010533","GENSUM","GIV",3,0.622,"High Fragility",25.2,-0.0361,0.831,2008
"CD010533_G11_N3","CD010533","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2008
"CD010533_G11_N5","CD010533","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2008
"CD010533_G4_N1","CD010533","GENSUM","GIV",3,0.486,"Moderate Fragility",39.4,-0.4293,0.0975,2008
"CD010533_G4_N2","CD010533","GENSUM","GIV",3,0.617,"High Fragility",22.7,-0.0374,0.8103,2008
"CD010583_G3_N2","CD010583","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2018
"CD010583_G4_N2","CD010583","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2019.5
"CD010583_G4_N3","CD010583","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2019.5
"CD010583_G4_N5","CD010583","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2019.5
"CD010779_G1_N2","CD010779","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2009.5
"CD010779_G2_N2","CD010779","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2012
"CD010861_G1_N1","CD010861","DICH","logOR",3,0.38,"Moderate Fragility",0,0.0973,0.946,2012
"CD010861_G1_N10","CD010861","GENSUM","GEN_CI",5,0.415,"Moderate Fragility",0,0.2429,0.9016,2017
"CD010861_G1_N11","CD010861","GENSUM","GEN_CI",6,0.393,"Moderate Fragility",0,0.1469,0.9406,2011
"CD010861_G1_N12","CD010861","GENSUM","GEN_CI",10,0.207,"Low Fragility",0,0.0867,0.1231,2012
"CD010861_G1_N13","CD010861","GENSUM","GEN_CI",8,0.234,"Low Fragility",0,0.1192,0.1906,2012
"CD010861_G1_N14","CD010861","DICH","logOR",5,0.265,"Low Fragility",0,0.1737,0.604,2011
"CD010861_G1_N15","CD010861","GENSUM","GEN_CI",5,0.248,"Low Fragility",0,0.5516,0.5842,2013
"CD010861_G1_N16","CD010861","GENSUM","GEN_CI",7,0.575,"High Fragility",93.7,0.4811,0.0359,2016
"CD010861_G1_N17","CD010861","GENSUM","GEN_CI",6,0.439,"Moderate Fragility",95.6,0.9415,0.0034,2015
